Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
29,1.0,0.0,0.0,543.0,9.0,135.0,1629.0,0.1,230.58880000000005,0.0,0.0,351.3682429790497,,,,,,,,,,,,,,,,,,,,,110.95043878184747,64.28647906357878,216.0423594409731,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,699.0,10.0,156.0,1785.0,0.1,269.89039999999994,0.0,0.0,367.14845180511475,,,,,,,,,,,,,,,,,,,,,127.77831691804292,73.71107610423762,250.45764739793375,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,757.0,11.0,58.0,1843.0,0.1,92.81839999999993,0.0,0.0,373.1444056034088,,,,,,,,,,,,,,,,,,,,,40.08264340657546,28.289487478247857,90.67486573903093,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,788.0,12.0,31.0,1874.0,0.1,46.08960000000002,0.0,0.0,376.4166169166565,,,,,,,,,,,,,,,,,,,,,20.610484364694486,14.22212795018901,45.54171286871904,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,813.0,13.0,25.0,1899.0,0.1,37.20880000000002,0.0,0.0,379.16077280044556,,,,,,,,,,,,,,,,,,,,,16.99103057319305,11.574213598869347,36.857702783534464,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,855.0,14.0,42.0,1941.0,0.1,65.45120000000001,0.0,0.0,383.53449153900146,,,,,,,,,,,,,,,,,,,,,28.699512695725574,19.890609380820298,64.37450510247938,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,884.0,15.0,29.0,1970.0,0.1,42.77000000000002,0.0,0.0,386.7324962615967,,,,,,,,,,,,,,,,,,,,,19.221147637978568,13.079302985126422,42.29713869875744,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,921.0,16.0,37.0,2007.0,0.1,49.85600000000002,0.0,0.0,390.7025189399719,,,,,,,,,,,,,,,,,,,,,21.633367185153894,14.926189430349213,49.15382390814168,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1020.0,17.0,99.0,2106.0,0.1,167.36959999999993,0.0,0.0,400.9237015247345,,,,,,,,,,,,,,,,,,,,,75.67846785386052,47.84117287860316,160.19766681843788,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1084.0,18.0,64.0,2170.0,0.1,96.33279999999996,0.0,0.0,407.64987087249756,,,,,,,,,,,,,,,,,,,,,44.21918649305361,28.05693712624389,93.69005849136883,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1113.0,19.0,29.0,2199.0,0.1,42.490400000000015,0.0,0.0,410.9063265323639,,,,,,,,,,,,,,,,,,,,,19.169771452389043,13.256510739682515,42.01847155251419,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1171.0,20.0,58.0,2257.0,0.1,92.728,0.0,0.0,416.88014459609985,,,,,,,,,,,,,,,,,,,,,43.086262752816864,26.7569521324852,90.40972580221522,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,117.0,1.0,117.0,2374.0,0.1,213.86960000000008,0.0,0.0,634.9692277908325,,,,,,,,,,,,,,,,,,,,,96.81170738024876,60.1514324775334,202.94832393605907,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,214.0,2.0,97.0,2471.0,0.1,171.6912,0.0,0.0,644.9084692001343,,,,,,,,,,,,,,,,,,,,,76.78081457027828,49.50763857312629,164.5724412968354,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,257.0,3.0,43.0,2514.0,0.1,73.28879999999997,0.0,0.0,649.4737911224365,,,,,,,,,,,,,,,,,,,,,33.16965199169532,22.668621179813492,72.00644584961047,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,285.0,4.0,28.0,2542.0,0.1,42.56800000000001,0.0,0.0,652.7420485019684,,,,,,,,,,,,,,,,,,,,,19.592111636598396,13.22568285937779,42.103585942474254,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,317.0,5.0,32.0,2574.0,0.1,49.76960000000001,0.0,0.0,656.4031023979187,,,,,,,,,,,,,,,,,,,,,22.309108657487407,15.672480183695548,49.15396730360028,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,402.0,6.0,85.0,2659.0,0.1,159.06960000000007,0.0,0.0,665.0333716869354,,,,,,,,,,,,,,,,,,,,,73.20106374422858,47.01039386543409,153.153663755588,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,430.0,7.0,28.0,2687.0,0.1,41.68960000000002,0.0,0.0,668.2379124164581,,,,,,,,,,,,,,,,,,,,,18.44060801171667,12.966571144324606,41.25573318631137,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,543.0,8.0,113.0,2800.0,0.1,157.23919999999998,0.0,0.0,679.7636613845825,,,,,,,,,,,,,,,,,,,,,75.71765926119326,42.48584547859646,148.9809173572824,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,600.0,9.0,57.0,2857.0,0.1,98.25119999999994,0.0,0.0,685.7555973529816,,,,,,,,,,,,,,,,,,,,,43.941111630830086,29.976580536732065,95.93833737345224,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,687.0,10.0,87.0,2944.0,0.1,145.99040000000005,0.0,0.0,694.6516027450562,,,,,,,,,,,,,,,,,,,,,67.37168579576867,41.893838009334495,140.40974241084737,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,756.0,11.0,69.0,3013.0,0.1,116.48959999999992,0.0,0.0,701.7007117271423,,,,,,,,,,,,,,,,,,,,,53.3221055323084,33.97717895347044,113.03633435063763,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,867.0,12.0,111.0,3124.0,0.1,203.48959999999994,0.0,0.0,713.0826497077942,,,,,,,,,,,,,,,,,,,,,92.04258411267097,58.55072896108264,193.65999950249906,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,894.0,13.0,27.0,3151.0,0.1,40.80960000000001,0.0,0.0,715.9987413883209,,,,,,,,,,,,,,,,,,,,,18.44554228188036,12.780958098491192,40.39231459526516,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,932.0,14.0,38.0,3189.0,0.1,58.25120000000002,0.0,0.0,719.9226427078247,,,,,,,,,,,,,,,,,,,,,25.916424967557163,18.00292859959634,57.38108063141503,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,999.0,15.0,67.0,3256.0,0.1,122.26959999999995,0.0,0.0,727.0481061935425,,,,,,,,,,,,,,,,,,,,,55.90921720278574,37.38768774842981,118.76108585804366,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1064.0,16.0,65.0,3321.0,0.1,91.5447999999999,0.0,0.0,733.8540523052216,,,,,,,,,,,,,,,,,,,,,37.785832817079005,26.73205424875809,89.2671659315871,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1149.0,17.0,85.0,3406.0,0.1,125.77679999999992,0.0,0.0,742.4620134830475,,,,,,,,,,,,,,,,,,,,,57.20028299316444,34.65232690628819,121.15696872606439,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1210.0,18.0,61.0,3467.0,0.1,98.32959999999999,0.0,0.0,748.9231293201447,,,,,,,,,,,,,,,,,,,,,45.95447885922509,28.962104211508994,95.71771650488053,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1251.0,19.0,41.0,3508.0,0.1,66.57039999999999,0.0,0.0,753.6734554767609,,,,,,,,,,,,,,,,,,,,,29.772962055377135,20.543104573422035,65.48060428369263,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1297.0,20.0,46.0,3554.0,0.1,76.17199999999995,0.0,0.0,758.7126932144165,,,,,,,,,,,,,,,,,,,,,34.065593650567855,23.708885118685895,74.75441677119949,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,132.0,1.0,132.0,3686.0,0.1,235.04960000000003,0.0,0.0,998.7508001327515,,,,,,,,,,,,,,,,,,,,,104.22889556630662,66.34047594655738,221.7346333172488,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,232.0,2.0,100.0,3786.0,0.1,182.48959999999997,0.0,0.0,1009.1833412647247,,,,,,,,,,,,,,,,,,,,,85.24836840472648,52.38947978361493,174.3132152768659,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,266.0,3.0,34.0,3820.0,0.1,53.768000000000015,0.0,0.0,1012.7830698490143,,,,,,,,,,,,,,,,,,,,,24.60395280836747,16.632657253396225,53.037487542112174,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,294.0,4.0,28.0,3848.0,0.1,41.289600000000014,0.0,0.0,1015.8077127933502,,,,,,,,,,,,,,,,,,,,,18.70847129237206,12.931128813807359,40.84741678997675,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,339.0,5.0,45.0,3893.0,0.1,69.51599999999998,0.0,0.0,1020.8935828208923,,,,,,,,,,,,,,,,,,,,,29.70187772320867,21.143274929755076,68.31597914476599,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,424.0,6.0,85.0,3978.0,0.1,148.836,0.0,0.0,1029.8194229602814,,,,,,,,,,,,,,,,,,,,,65.4523503823804,44.41962469117407,143.55952570939075,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,513.0,7.0,89.0,4067.0,0.1,136.57760000000007,0.0,0.0,1039.1543338298798,,,,,,,,,,,,,,,,,,,,,63.02140592826207,39.636230250673506,131.23102569274442,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,630.0,8.0,117.0,4184.0,0.1,202.33279999999993,0.0,0.0,1051.2645692825317,,,,,,,,,,,,,,,,,,,,,92.81269875257583,58.03639038177021,191.85723686243657,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,716.0,9.0,86.0,4270.0,0.1,155.77080000000004,0.0,0.0,1060.117171049118,,,,,,,,,,,,,,,,,,,,,72.24043731818837,45.89692840165491,149.85768790876543,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,756.0,10.0,40.0,4310.0,0.1,56.89760000000002,0.0,0.0,1064.3550856113434,,,,,,,,,,,,,,,,,,,,,24.240821448459933,17.39170845486288,56.039991084238984,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,832.0,11.0,76.0,4386.0,0.1,130.75679999999994,0.0,0.0,1072.2619576454163,,,,,,,,,,,,,,,,,,,,,58.14293485750956,39.00934456572117,126.59099234452596,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,903.0,12.0,71.0,4457.0,0.1,124.81039999999997,0.0,0.0,1079.6128919124603,,,,,,,,,,,,,,,,,,,,,58.26195123022958,36.72688413974635,120.91551157028269,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,936.0,13.0,33.0,4490.0,0.1,51.49120000000001,0.0,0.0,1083.1312022209167,,,,,,,,,,,,,,,,,,,,,22.751468971798197,16.036585877000967,50.8420347513987,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,980.0,14.0,44.0,4534.0,0.1,62.42080000000002,0.0,0.0,1087.7741968631744,,,,,,,,,,,,,,,,,,,,,26.270833415973655,18.821176291605486,61.387597136372776,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1053.0,15.0,73.0,4607.0,0.1,111.77199999999998,0.0,0.0,1095.5263860225677,,,,,,,,,,,,,,,,,,,,,51.350824117587514,30.983547881000696,108.23976112189881,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1195.0,16.0,142.0,4749.0,0.1,247.52799999999993,0.0,0.0,1110.1298234462738,,,,,,,,,,,,,,,,,,,,,113.5336726399457,68.84336713164011,231.8697260675367,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1333.0,17.0,138.0,4887.0,0.1,210.03359999999992,0.0,0.0,1124.1881721019745,,,,,,,,,,,,,,,,,,,,,93.3526197780856,55.8684425200899,197.5458325899716,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,1395.0,18.0,62.0,4949.0,0.1,102.29119999999999,0.0,0.0,1130.6081206798553,,,,,,,,,,,,,,,,,,,,,47.6081170724194,30.287194616599095,99.53847415133849,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,1427.0,19.0,32.0,4981.0,0.1,47.12960000000002,0.0,0.0,1134.012359380722,,,,,,,,,,,,,,,,,,,,,21.29418974465861,14.479072894649835,46.54122183061032,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
